From;To;Resources;tc_min
AT-CH-IT;BE-DE-LU-NL;ELECTRICITY;9.6
AT-CH-IT;FR;ELECTRICITY;7.25
BE-DE-LU-NL;AT-CH-IT;ELECTRICITY;9.6
BE-DE-LU-NL;DK-SE;ELECTRICITY;3.815
BE-DE-LU-NL;FR;ELECTRICITY;5.48
BE-DE-LU-NL;IE-UK;ELECTRICITY;2
DK-SE;BE-DE-LU-NL;ELECTRICITY;3.815
ES-PT;FR;ELECTRICITY;2.8
FR;AT-CH-IT;ELECTRICITY;7.25
FR;BE-DE-LU-NL;ELECTRICITY;5.48
FR;ES-PT;ELECTRICITY;2.8
FR;IE-UK;ELECTRICITY;2
IE-UK;BE-DE-LU-NL;ELECTRICITY;2
IE-UK;FR;ELECTRICITY;2
AT-CH-IT;BE-DE-LU-NL;GAS;30.02083333
AT-CH-IT;FR;GAS;4.166666667
BE-DE-LU-NL;AT-CH-IT;GAS;29.19333333
BE-DE-LU-NL;DK-SE;GAS;6.9375
BE-DE-LU-NL;FR;GAS;61.25
BE-DE-LU-NL;IE-UK;GAS;54.05833333
DK-SE;BE-DE-LU-NL;GAS;132.9233333
DK-SE;FR;GAS;23.75
DK-SE;IE-UK;GAS;62.4625
ES-PT;FR;GAS;9.35
FR;AT-CH-IT;GAS;10.85
FR;BE-DE-LU-NL;GAS;11.25
FR;ES-PT;GAS;6.875
IE-UK;BE-DE-LU-NL;GAS;27.15416667
