Category;Subcategory;Technologies name;Technologies param;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;0;0;
Electricity;Electricity;Photovoltaic;PV;12.563;616;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;0;23;
Electricity;Electricity;Striling dish;STIRLING_DISH;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;15.058;152.3;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;0;119;
Electricity;Electricity;Hydro dam;HYDRO_DAM;0;1.00E-03;
Electricity;Electricity;Hydro river;HYDRO_RIVER;2.116;2.12E+00;
Electricity;Electricity; tidal stream;NEW_TIDAL_STREAM;0;0.00E+00;
Electricity;Electricity;Tidal stream;TIDAL_STREAM;0;2.88E+01;
Electricity;Electricity;Tidal range;TIDAL_RANGE;0;2.88E+01;
Electricity;Electricity;Wave;WAVE;0;0.00E+00;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;0;1.30E+00;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;0;0.00E+00;
Storage;Electricity storage;Hydro dam storage;DAM_STORAGE;0;0.00E+00;
Storage;Electricity storage;Pumped hydro storage;PHS;35;1.78E+03;
