,solar_area_rooftop,solar_area_ground,solar_area_ground_high_irr
AL,38.318397088235294,436.05735217647054,0.0
AT,119.4756022987901,744.7800000000001,0.0
BA,47.79706467647058,1465.8786088235292,0.0
BE,159.69332494082323,452.46,0.0
BG,106.66346995751182,1651.8599999999997,0.0
CH,20.294117647058822,126.76470588235294,0.0
CZ,149.44085226516322,1162.83,0.0
DE,1123.0402113009827,4687.709999999998,0.011764705882352941
DK,81.24031389354438,811.6799999999998,0.0
EE,19.125029182133066,306.33,0.0
GR,143.10199175377673,1702.92,56.46
ES,581.5661880970525,7164.180000000002,2918.520000000001
FI,80.49285731719203,345.75,0.0
FR,899.3697433209259,8774.129999999997,88.73999999999998
HR,60.7588180314156,524.2800000000001,0.33
HU,141.85441290360924,1748.6999999999998,0.0
IE,65.9372121077879,1267.08,0.0
IT,802.3267626312928,4409.55,125.85000000000002
LT,43.46553494703082,1054.62,0.0
LU,7.8909239886634515,28.44,0.0
LV,28.850489419439636,538.1999999999999,0.0
ME,9.06965174117647,54.052370664705876,0.0
MK,34.48036148823529,750.0031770588234,0.0
NL,227.49831810123223,565.56,0.0
NO,118.8891568235294,301.95846847058823,0.0
PL,536.3737302034257,4718.8200000000015,0.0
PT,134.5583607971017,946.35,430.2300000000001
RO,283.0261043840932,4194.78,0.0
RS,152.544919,1545.7489052941178,0.0
SE,140.53045848013514,689.76,0.0
SI,28.757684643984156,181.10999999999999,0.0
SK,77.64822052484773,627.54,0.0
GB,871.1304524851492,3206.0399999999995,0.0
XK,16.239137988235292,282.3552240588235,0.0
